City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
334,Thompson,CA,55.7435,-97.8558,21.36,86,100,10.36,light snow
335,Klaksvik,FO,62.2266,-6.589,47.32,89,100,32.19,light rain
336,Puerto Madryn,AR,-42.7692,-65.0385,62.58,41,6,17.09,clear sky
337,Manali,IN,13.1667,80.2667,77.09,84,100,15.5,overcast clouds
338,Abnub,EG,27.2696,31.1511,70.39,31,18,7.02,few clouds
339,San Juan,AR,-31.5375,-68.5364,78.96,20,0,21.43,clear sky
340,Asau,RO,46.4333,26.4,33.28,100,100,0.47,overcast clouds
341,Oksfjord,NO,70.2396,22.3479,24.98,41,0,3.94,clear sky
342,Fairbanks,US,64.8378,-147.7164,19.6,87,100,5.75,overcast clouds
343,Tabat,ID,-2.635,115.2274,74.39,98,100,0.89,light rain
344,Kulhudhuffushi,MV,6.6221,73.07,77.09,84,100,5.66,overcast clouds
